Rank,Symbol,Name,Country,SmartScore,SmartProb,FundaScore,FundaProb,TechScore,TechProb,SentiScore,SentiProb,RiskScore,RiskProb,Sector,Industry,Accurate,pe,market_cap,perf_week,perf_month,perf_quarter,perf_halfyear,perf_year,perf_ytd,roe,dividend_yield,roi,high_52w,low_52w,avg_volume,beta
<b>771</b>,<b><a href='https://tossinvest.com/stocks/DOV/analytics'>DOV</a></b>,Dover Corp,US,5,39.3%,6,40.4%,9,43.7%,9,45.2%,6,0.9%,Industrials,Machinery,False,10.61,28.33B,<span style='color: green;'>2.67%</span>,<span style='color: green;'>4.04%</span>,<span style='color: green;'>2.87%</span>,<span style='color: green;'>14.21%</span>,<span style='color: green;'>28.93%</span>,<span style='color: green;'>10.04%</span>,24.30%,1.03%,27.91%,-7.14%,29.44%,765.56K,1.24
<b>772</b>,<b><a href='https://tossinvest.com/stocks/FTI/analytics'>FTI</a></b>,TechnipFMC plc,US,5,39.3%,5,39.5%,9,45.4%,7,41.7%,5,1.5%,Energy,Energy Equipment & Ser...,False,20.06,12.97B,<span style='color: red;'>-0.68%</span>,<span style='color: red;'>-6.36%</span>,<span style='color: green;'>8.35%</span>,<span style='color: green;'>13.60%</span>,<span style='color: green;'>55.74%</span>,<span style='color: green;'>5.32%</span>,21.22%,0.72%,14.36%,-8.88%,56.47%,3.47M,1.57
<b>773</b>,<b><a href='https://tossinvest.com/stocks/PBR/analytics'>PBR</a></b>,Petroleo Brasileiro S.A. Petrobr...,BR,5,39.3%,5,38.9%,6,40.2%,5,38.4%,5,1.4%,Energy,"Oil, Gas & Consumable ...",False,5.87,55.52B,<span style='color: green;'>8.98%</span>,<span style='color: green;'>8.04%</span>,<span style='color: green;'>9.89%</span>,<span style='color: green;'>3.83%</span>,<span style='color: red;'>-6.16%</span>,<span style='color: green;'>16.02%</span>,21.98%,17.18%,13.71%,-12.76%,18.97%,13.99M,1.45
<b>774</b>,<b><a href='https://tossinvest.com/stocks/PBR-A/analytics'>PBR-A</a></b>,Petroleo Brasileiro S.A. Petrobr...,BR,5,39.3%,5,38.9%,6,40.2%,5,38.4%,5,1.4%,Energy,"Oil, Gas & Consumable ...",False,5.33,35.82B,<span style='color: green;'>7.63%</span>,<span style='color: green;'>9.55%</span>,<span style='color: green;'>4.39%</span>,<span style='color: red;'>-4.51%</span>,<span style='color: red;'>-21.19%</span>,<span style='color: green;'>14.36%</span>,21.98%,17.38%,13.71%,-17.87%,17.53%,5.08M,1.48
<b>775</b>,<b><a href='https://tossinvest.com/stocks/ACGL/analytics'>ACGL</a></b>,Arch Capital Group Ltd,BM,5,39.3%,8,42.5%,6,39.8%,9,44.4%,6,1.1%,Financials,Insurance,False,7.96,33.50B,<span style='color: green;'>0.90%</span>,<span style='color: red;'>-6.14%</span>,<span style='color: red;'>-12.55%</span>,<span style='color: red;'>-13.54%</span>,<span style='color: green;'>3.41%</span>,<span style='color: red;'>-3.57%</span>,22.02%,2.67%,18.14%,-19.59%,11.53%,1.89M,0.62
<b>776</b>,<b><a href='https://tossinvest.com/stocks/LECO/analytics'>LECO</a></b>,"Lincoln Electric Holdings, Inc",US,5,39.3%,6,39.9%,6,39.9%,9,44.0%,6,1.2%,Industrials,Machinery,False,25.97,11.94B,<span style='color: green;'>9.09%</span>,<span style='color: green;'>6.14%</span>,<span style='color: green;'>2.69%</span>,<span style='color: green;'>9.01%</span>,<span style='color: red;'>-14.44%</span>,<span style='color: green;'>12.89%</span>,35.36%,1.49%,18.81%,-18.95%,24.85%,292.95K,1.20
<b>777</b>,<b><a href='https://tossinvest.com/stocks/SAIA/analytics'>SAIA</a></b>,Saia Inc,US,5,39.2%,6,40.2%,7,41.8%,7,42.0%,4,2.3%,Industrials,Road & Rail,False,33.59,12.07B,<span style='color: red;'>-4.82%</span>,<span style='color: red;'>-10.23%</span>,<span style='color: red;'>-13.11%</span>,<span style='color: green;'>16.46%</span>,<span style='color: red;'>-16.06%</span>,<span style='color: red;'>-0.40%</span>,17.03%,,13.91%,-27.76%,26.47%,366.19K,1.87
<b>778</b>,<b><a href='https://tossinvest.com/stocks/TGT/analytics'>TGT</a></b>,Target Corp,US,5,39.2%,6,40.7%,6,39.7%,7,41.9%,5,1.6%,Consumer Discretionary,Multiline Retail,False,13.58,58.71B,<span style='color: green;'>0.49%</span>,<span style='color: red;'>-6.71%</span>,<span style='color: red;'>-15.00%</span>,<span style='color: red;'>-9.96%</span>,<span style='color: red;'>-11.72%</span>,<span style='color: red;'>-5.22%</span>,32.37%,3.29%,13.55%,-29.54%,6.59%,6.93M,1.17
<b>779</b>,<b><a href='https://tossinvest.com/stocks/EXR/analytics'>EXR</a></b>,Extra Space Storage Inc,US,5,39.2%,5,38.2%,6,40.3%,6,40.0%,6,1.2%,Real Estate,Equity Real Estate Inv...,False,41.31,34.39B,<span style='color: green;'>0.74%</span>,<span style='color: green;'>2.65%</span>,<span style='color: red;'>-4.25%</span>,<span style='color: red;'>-6.04%</span>,<span style='color: green;'>14.77%</span>,<span style='color: green;'>4.24%</span>,5.65%,4.16%,3.07%,-15.63%,19.10%,1.10M,0.92
<b>780</b>,<b><a href='https://tossinvest.com/stocks/XPEV/analytics'>XPEV</a></b>,XPeng Inc ADR,CN,5,39.2%,5,38.7%,5,38.3%,4,36.2%,4,2.5%,Consumer Discretionary,Automobiles,False,,13.70B,<span style='color: green;'>10.42%</span>,<span style='color: green;'>18.00%</span>,<span style='color: green;'>38.93%</span>,<span style='color: green;'>145.83%</span>,<span style='color: green;'>85.92%</span>,<span style='color: green;'>49.75%</span>,-18.96%,,-13.97%,-3.23%,170.21%,10.40M,2.77
<b>781</b>,<b><a href='https://tossinvest.com/stocks/CCK/analytics'>CCK</a></b>,"Crown Holdings, Inc",US,5,39.2%,6,40.6%,7,41.1%,8,42.7%,6,1.2%,Materials,Containers & Packaging,False,24.87,10.61B,<span style='color: green;'>0.34%</span>,<span style='color: green;'>2.07%</span>,<span style='color: red;'>-1.32%</span>,<span style='color: red;'>-0.24%</span>,<span style='color: green;'>24.19%</span>,<span style='color: green;'>7.23%</span>,16.42%,0.94%,4.81%,-9.94%,25.17%,1.35M,0.88
<b>782</b>,<b><a href='https://tossinvest.com/stocks/ORI/analytics'>ORI</a></b>,Old Republic International Corp,US,5,39.2%,7,42.1%,7,41.5%,9,44.2%,6,0.9%,Financials,Insurance,False,11.26,9.23B,<span style='color: green;'>1.36%</span>,<span style='color: green;'>0.77%</span>,<span style='color: red;'>-2.91%</span>,<span style='color: green;'>4.48%</span>,<span style='color: green;'>28.28%</span>,<span style='color: green;'>0.64%</span>,15.18%,,10.11%,-2.59%,36.71%,1.15M,0.86
<b>783</b>,<b><a href='https://tossinvest.com/stocks/VRSN/analytics'>VRSN</a></b>,Verisign Inc,US,5,39.2%,6,40.0%,8,42.4%,9,43.6%,6,0.8%,Information Technology,IT Services,False,29.23,22.13B,<span style='color: green;'>2.81%</span>,<span style='color: green;'>11.15%</span>,<span style='color: green;'>29.30%</span>,<span style='color: green;'>27.94%</span>,<span style='color: green;'>20.41%</span>,<span style='color: green;'>13.01%</span>,,,,0.60%,40.01%,713.35K,0.90
<b>784</b>,<b><a href='https://tossinvest.com/stocks/XYL/analytics'>XYL</a></b>,Xylem Inc,US,5,39.2%,6,39.7%,5,39.0%,9,43.6%,6,1.0%,Industrials,Machinery,False,35.51,31.52B,<span style='color: red;'>-0.14%</span>,<span style='color: green;'>6.41%</span>,<span style='color: green;'>6.84%</span>,<span style='color: red;'>-2.92%</span>,<span style='color: green;'>5.69%</span>,<span style='color: green;'>11.82%</span>,8.55%,1.07%,7.05%,-11.19%,14.54%,1.40M,1.10
<b>785</b>,<b><a href='https://tossinvest.com/stocks/SW/analytics'>SW</a></b>,Smurfit WestRock plc,IE,5,39.2%,6,39.9%,5,38.9%,8,43.1%,6,1.2%,,-,False,44.28,28.70B,<span style='color: green;'>6.22%</span>,<span style='color: red;'>-1.62%</span>,<span style='color: green;'>4.72%</span>,<span style='color: green;'>24.40%</span>,-,<span style='color: green;'>0.45%</span>,14.24%,3.00%,1.07%,-5.06%,40.34%,3.44M,1.00
<b>786</b>,<b><a href='https://tossinvest.com/stocks/VLTO/analytics'>VLTO</a></b>,Veralto Corp,US,5,39.2%,6,40.8%,6,39.7%,9,44.2%,6,1.2%,Industrials,Commercial Services & ...,False,29.26,24.17B,<span style='color: red;'>-2.34%</span>,<span style='color: red;'>-5.21%</span>,<span style='color: red;'>-4.83%</span>,<span style='color: red;'>-10.82%</span>,<span style='color: green;'>13.51%</span>,<span style='color: red;'>-4.05%</span>,48.60%,0.33%,17.94%,-15.03%,17.25%,1.39M,1.49
<b>787</b>,<b><a href='https://tossinvest.com/stocks/TXRH/analytics'>TXRH</a></b>,Texas Roadhouse Inc,US,5,39.2%,7,41.3%,5,39.6%,8,43.0%,6,0.8%,Consumer Discretionary,"Hotels, Restaurants & ...",False,29.48,11.45B,<span style='color: green;'>1.81%</span>,<span style='color: red;'>-5.75%</span>,<span style='color: red;'>-13.07%</span>,<span style='color: green;'>2.75%</span>,<span style='color: green;'>17.84%</span>,<span style='color: red;'>-4.91%</span>,32.35%,1.46%,18.48%,-16.73%,18.47%,826.97K,1.02
<b>788</b>,<b><a href='https://tossinvest.com/stocks/LULU/analytics'>LULU</a></b>,Lululemon Athletica inc,CA,5,39.2%,6,40.6%,6,39.9%,7,41.4%,5,1.6%,Consumer Discretionary,"Textiles, Apparel & Lu...",False,26.42,46.42B,<span style='color: red;'>-7.42%</span>,<span style='color: red;'>-1.87%</span>,<span style='color: green;'>14.32%</span>,<span style='color: green;'>41.18%</span>,<span style='color: red;'>-18.63%</span>,<span style='color: red;'>-4.34%</span>,46.21%,,33.32%,-23.94%,61.86%,1.85M,1.19
<b>789</b>,<b><a href='https://tossinvest.com/stocks/PWR/analytics'>PWR</a></b>,"Quanta Services, Inc",US,5,39.2%,6,40.8%,5,39.1%,9,43.8%,5,1.7%,Industrials,Construction & Enginee...,False,46.66,41.50B,<span style='color: red;'>-5.76%</span>,<span style='color: red;'>-21.46%</span>,<span style='color: red;'>-13.04%</span>,<span style='color: green;'>4.90%</span>,<span style='color: green;'>33.11%</span>,<span style='color: red;'>-11.04%</span>,13.32%,0.15%,7.77%,-23.16%,36.10%,1.23M,1.07
<b>790</b>,<b><a href='https://tossinvest.com/stocks/CMG/analytics'>CMG</a></b>,Chipotle Mexican Grill,US,5,39.2%,7,41.2%,5,39.4%,7,41.8%,5,1.3%,Consumer Discretionary,"Hotels, Restaurants & ...",False,47.62,71.90B,<span style='color: red;'>-7.40%</span>,<span style='color: red;'>-5.60%</span>,<span style='color: red;'>-9.52%</span>,<span style='color: green;'>0.78%</span>,<span style='color: green;'>2.08%</span>,<span style='color: red;'>-12.02%</span>,45.67%,,19.37%,-23.41%,10.57%,9.43M,1.26
<b>791</b>,<b><a href='https://tossinvest.com/stocks/CAG/analytics'>CAG</a></b>,Conagra Brands Inc,US,5,39.2%,5,38.0%,5,39.4%,5,39.3%,6,0.9%,Consumer Staples,Food Products,False,24.27,11.86B,<span style='color: green;'>0.32%</span>,<span style='color: red;'>-3.35%</span>,<span style='color: red;'>-6.97%</span>,<span style='color: red;'>-19.14%</span>,<span style='color: red;'>-5.48%</span>,<span style='color: red;'>-10.49%</span>,5.53%,5.64%,3.28%,-25.27%,7.72%,5.59M,0.17
<b>792</b>,<b><a href='https://tossinvest.com/stocks/TEVA/analytics'>TEVA</a></b>,Teva- Pharmaceutical Industries ...,IL,5,39.2%,7,41.1%,5,39.1%,8,42.3%,5,1.5%,Health Care,Pharmaceuticals,False,,19.28B,<span style='color: green;'>4.04%</span>,<span style='color: red;'>-22.09%</span>,<span style='color: green;'>3.47%</span>,<span style='color: red;'>-7.05%</span>,<span style='color: green;'>30.57%</span>,<span style='color: red;'>-22.87%</span>,-25.44%,,-7.56%,-25.44%,35.89%,12.06M,0.81
<b>793</b>,<b><a href='https://tossinvest.com/stocks/WTRG/analytics'>WTRG</a></b>,Essential Utilities Inc,US,5,39.2%,5,38.3%,6,39.9%,6,40.9%,6,0.9%,Utilities,Water Utilities,False,18.03,9.87B,<span style='color: green;'>0.67%</span>,<span style='color: green;'>2.95%</span>,<span style='color: red;'>-6.84%</span>,<span style='color: red;'>-8.71%</span>,<span style='color: green;'>1.83%</span>,<span style='color: red;'>-0.99%</span>,9.02%,3.52%,4.06%,-13.93%,8.38%,1.40M,0.80
<b>794</b>,<b><a href='https://tossinvest.com/stocks/DHI/analytics'>DHI</a></b>,D.R. Horton Inc,US,5,39.2%,6,40.0%,5,39.3%,7,42.0%,5,1.3%,Consumer Discretionary,Household Durables,False,9.09,40.55B,<span style='color: green;'>0.73%</span>,<span style='color: red;'>-10.45%</span>,<span style='color: red;'>-20.38%</span>,<span style='color: red;'>-28.91%</span>,<span style='color: red;'>-8.34%</span>,<span style='color: red;'>-7.97%</span>,19.35%,1.23%,15.62%,-35.61%,3.58%,3.25M,1.79
<b>795</b>,<b><a href='https://tossinvest.com/stocks/WPC/analytics'>WPC</a></b>,W. P. Carey Inc,US,5,39.1%,5,38.7%,5,37.7%,5,38.2%,6,1.0%,Real Estate,Equity Real Estate Inv...,False,29.25,13.39B,<span style='color: green;'>6.07%</span>,<span style='color: green;'>7.61%</span>,<span style='color: green;'>9.74%</span>,<span style='color: green;'>4.63%</span>,<span style='color: green;'>6.62%</span>,<span style='color: green;'>12.33%</span>,5.38%,5.82%,2.87%,-4.61%,15.67%,1.12M,1.02
<b>796</b>,<b><a href='https://tossinvest.com/stocks/NEM/analytics'>NEM</a></b>,Newmont Corp,US,5,39.1%,5,39.5%,4,36.4%,6,40.3%,5,1.6%,Materials,Metals & Mining,False,,54.75B,<span style='color: green;'>2.73%</span>,<span style='color: green;'>13.55%</span>,<span style='color: green;'>18.19%</span>,<span style='color: red;'>-5.04%</span>,<span style='color: green;'>46.49%</span>,<span style='color: green;'>29.20%</span>,-5.22%,2.10%,-3.12%,-18.10%,63.46%,9.42M,0.56
<b>797</b>,<b><a href='https://tossinvest.com/stocks/BNTX/analytics'>BNTX</a></b>,BioNTech SE ADR,DE,5,39.1%,6,40.1%,9,44.6%,4,36.5%,5,1.4%,Health Care,Biotechnology,False,,28.26B,<span style='color: green;'>5.35%</span>,<span style='color: green;'>0.54%</span>,<span style='color: green;'>18.21%</span>,<span style='color: green;'>31.08%</span>,<span style='color: green;'>28.59%</span>,<span style='color: green;'>3.45%</span>,-2.37%,,-2.33%,-10.35%,54.03%,718.26K,0.28
<b>798</b>,<b><a href='https://tossinvest.com/stocks/LOGI/analytics'>LOGI</a></b>,Logitech International S.A,CH,5,39.1%,6,40.2%,5,38.1%,7,41.3%,5,1.5%,Information Technology,"Technology Hardware, S...",False,24.28,15.43B,<span style='color: green;'>2.88%</span>,<span style='color: green;'>14.49%</span>,<span style='color: green;'>33.08%</span>,<span style='color: green;'>14.70%</span>,<span style='color: green;'>21.86%</span>,<span style='color: green;'>25.40%</span>,30.52%,1.19%,30.03%,-2.25%,38.21%,610.68K,0.74
<b>799</b>,<b><a href='https://tossinvest.com/stocks/OC/analytics'>OC</a></b>,Owens Corning,US,5,39.1%,6,40.1%,6,39.7%,8,42.7%,5,1.4%,Industrials,Building Products,False,14.64,14.76B,<span style='color: red;'>-2.44%</span>,<span style='color: red;'>-8.10%</span>,<span style='color: red;'>-11.28%</span>,<span style='color: green;'>6.19%</span>,<span style='color: green;'>24.28%</span>,<span style='color: green;'>1.05%</span>,19.31%,,9.37%,-19.78%,24.08%,802.32K,1.49
<b>800</b>,<b><a href='https://tossinvest.com/stocks/CLH/analytics'>CLH</a></b>,"Clean Harbors, Inc",US,5,39.1%,6,40.9%,6,39.7%,9,43.7%,6,1.2%,Industrials,Commercial Services & ...,False,28.60,11.44B,<span style='color: red;'>-8.41%</span>,<span style='color: red;'>-13.78%</span>,<span style='color: red;'>-14.23%</span>,<span style='color: red;'>-12.14%</span>,<span style='color: green;'>13.92%</span>,<span style='color: red;'>-7.80%</span>,16.69%,,7.28%,-20.56%,20.54%,345.56K,1.20
<b>801</b>,<b><a href='https://tossinvest.com/stocks/ABNB/analytics'>ABNB</a></b>,Airbnb Inc,US,5,39.1%,7,41.2%,5,38.1%,6,40.7%,5,1.6%,Consumer Discretionary,"Hotels, Restaurants & ...",False,37.57,97.93B,<span style='color: green;'>10.53%</span>,<span style='color: green;'>16.71%</span>,<span style='color: green;'>17.22%</span>,<span style='color: green;'>30.36%</span>,<span style='color: green;'>1.84%</span>,<span style='color: green;'>18.19%</span>,31.95%,,24.88%,-8.69%,40.70%,4.81M,1.14
<b>802</b>,<b><a href='https://tossinvest.com/stocks/EW/analytics'>EW</a></b>,Edwards Lifesciences Corp,US,5,39.1%,6,40.0%,6,40.4%,7,42.0%,5,2.2%,Health Care,Health Care Equipment ...,False,10.71,44.06B,<span style='color: red;'>-1.46%</span>,<span style='color: green;'>6.77%</span>,<span style='color: green;'>10.26%</span>,<span style='color: green;'>9.45%</span>,<span style='color: red;'>-13.23%</span>,<span style='color: green;'>0.92%</span>,17.93%,,40.82%,-22.27%,26.78%,4.75M,1.13
<b>803</b>,<b><a href='https://tossinvest.com/stocks/RNR/analytics'>RNR</a></b>,RenaissanceRe Holdings Ltd,BM,5,39.1%,5,38.4%,6,39.8%,9,44.7%,5,1.4%,Financials,Insurance,False,6.53,11.27B,<span style='color: red;'>-0.91%</span>,<span style='color: red;'>-11.00%</span>,<span style='color: red;'>-11.89%</span>,<span style='color: red;'>-6.49%</span>,<span style='color: green;'>1.60%</span>,<span style='color: red;'>-7.99%</span>,18.40%,0.69%,14.35%,-23.69%,9.54%,499.61K,0.39
<b>804</b>,<b><a href='https://tossinvest.com/stocks/HSY/analytics'>HSY</a></b>,Hershey Company,US,5,39.1%,6,40.5%,5,39.3%,6,40.6%,6,0.9%,Consumer Staples,Food Products,False,15.24,33.62B,<span style='color: green;'>5.07%</span>,<span style='color: green;'>8.16%</span>,<span style='color: red;'>-2.04%</span>,<span style='color: red;'>-15.08%</span>,<span style='color: red;'>-11.21%</span>,<span style='color: red;'>-1.92%</span>,50.40%,3.34%,27.06%,-21.62%,18.53%,2.30M,0.35
<b>805</b>,<b><a href='https://tossinvest.com/stocks/FMS/analytics'>FMS</a></b>,Fresenius Medical Care AG ADR,DE,5,39.1%,5,39.0%,5,39.3%,5,38.1%,5,1.6%,Health Care,Health Care Providers ...,False,18.84,13.46B,<span style='color: red;'>-5.67%</span>,<span style='color: red;'>-0.65%</span>,<span style='color: green;'>3.43%</span>,<span style='color: green;'>20.17%</span>,<span style='color: green;'>11.81%</span>,<span style='color: green;'>1.33%</span>,4.76%,2.55%,2.76%,-9.15%,27.94%,246.00K,0.98
<b>806</b>,<b><a href='https://tossinvest.com/stocks/PAG/analytics'>PAG</a></b>,Penske Automotive Group Inc,US,5,39.1%,5,38.8%,7,41.3%,6,40.1%,6,1.1%,Consumer Discretionary,Specialty Retail,False,12.88,11.21B,<span style='color: green;'>1.99%</span>,<span style='color: green;'>3.08%</span>,<span style='color: green;'>4.80%</span>,<span style='color: green;'>1.83%</span>,<span style='color: green;'>12.55%</span>,<span style='color: green;'>10.15%</span>,18.46%,1.85%,10.50%,-6.77%,17.99%,172.51K,1.24
<b>807</b>,<b><a href='https://tossinvest.com/stocks/FN/analytics'>FN</a></b>,Fabrinet,KY,5,39.1%,6,40.8%,6,40.0%,9,45.7%,4,2.4%,Information Technology,"Electronic Equipment, ...",False,25.82,8.30B,<span style='color: green;'>9.19%</span>,<span style='color: red;'>-8.50%</span>,<span style='color: red;'>-1.78%</span>,<span style='color: red;'>-0.38%</span>,<span style='color: green;'>17.27%</span>,<span style='color: green;'>4.91%</span>,18.88%,,17.65%,-18.14%,44.45%,627.83K,0.88
<b>808</b>,<b><a href='https://tossinvest.com/stocks/THC/analytics'>THC</a></b>,Tenet Healthcare Corp,US,5,39.1%,6,40.4%,5,39.5%,8,42.8%,5,1.5%,Health Care,Health Care Providers ...,False,4.26,13.05B,<span style='color: green;'>8.76%</span>,<span style='color: green;'>2.09%</span>,<span style='color: red;'>-11.65%</span>,<span style='color: red;'>-12.13%</span>,<span style='color: green;'>50.93%</span>,<span style='color: green;'>8.72%</span>,110.75%,,17.58%,-19.84%,54.24%,1.37M,2.05
<b>809</b>,<b><a href='https://tossinvest.com/stocks/COO/analytics'>COO</a></b>,"Cooper Companies, Inc",US,5,39.1%,5,39.5%,5,39.3%,7,42.0%,6,0.9%,Health Care,Health Care Equipment ...,False,45.35,17.70B,<span style='color: red;'>-3.60%</span>,<span style='color: red;'>-6.98%</span>,<span style='color: red;'>-10.98%</span>,<span style='color: red;'>-6.86%</span>,<span style='color: red;'>-4.64%</span>,<span style='color: red;'>-3.52%</span>,5.02%,0.03%,3.61%,-21.08%,4.64%,1.49M,1.01
<b>810</b>,<b><a href='https://tossinvest.com/stocks/EA/analytics'>EA</a></b>,"Electronic Arts, Inc",US,5,39.0%,6,39.8%,5,38.6%,8,42.4%,5,1.3%,Communication Services,Entertainment,False,33.08,33.88B,<span style='color: red;'>-0.90%</span>,<span style='color: red;'>-9.28%</span>,<span style='color: red;'>-19.35%</span>,<span style='color: red;'>-12.94%</span>,<span style='color: red;'>-8.16%</span>,<span style='color: red;'>-11.15%</span>,14.04%,0.60%,11.29%,-22.85%,12.83%,3.18M,0.80
<b>811</b>,<b><a href='https://tossinvest.com/stocks/EMN/analytics'>EMN</a></b>,Eastman Chemical Co,US,5,39.0%,6,40.1%,5,39.5%,7,42.1%,6,1.0%,Materials,Chemicals,False,13.08,11.58B,<span style='color: red;'>-0.71%</span>,<span style='color: green;'>6.55%</span>,<span style='color: red;'>-1.03%</span>,<span style='color: green;'>3.03%</span>,<span style='color: green;'>18.04%</span>,<span style='color: green;'>10.12%</span>,16.11%,3.33%,8.67%,-12.17%,20.11%,1.15M,1.45
<b>812</b>,<b><a href='https://tossinvest.com/stocks/AER/analytics'>AER</a></b>,Aercap Holdings N.V,IE,5,39.0%,6,40.1%,6,39.7%,8,43.3%,6,1.0%,Industrials,Trading Companies & Di...,False,8.38,21.42B,<span style='color: green;'>6.77%</span>,<span style='color: green;'>10.73%</span>,<span style='color: green;'>11.03%</span>,<span style='color: green;'>11.70%</span>,<span style='color: green;'>37.34%</span>,<span style='color: green;'>10.53%</span>,15.33%,0.46%,3.89%,0.00%,39.26%,1.02M,1.86
<b>813</b>,<b><a href='https://tossinvest.com/stocks/RKT/analytics'>RKT</a></b>,Rocket Companies Inc,US,5,39.0%,6,40.3%,5,38.5%,5,39.2%,5,1.8%,Financials,Thrifts & Mortgage Fin...,False,,25.39B,<span style='color: green;'>4.43%</span>,<span style='color: green;'>6.35%</span>,<span style='color: red;'>-6.40%</span>,<span style='color: red;'>-33.66%</span>,<span style='color: green;'>11.96%</span>,<span style='color: green;'>13.06%</span>,-2.39%,,-0.14%,-40.46%,26.54%,3.08M,2.44
<b>814</b>,<b><a href='https://tossinvest.com/stocks/NWSA/analytics'>NWSA</a></b>,News Corp,US,5,39.0%,6,39.7%,7,41.3%,6,40.8%,6,0.9%,Communication Services,Media,False,39.79,17.17B,<span style='color: red;'>-1.74%</span>,<span style='color: green;'>3.55%</span>,<span style='color: green;'>0.80%</span>,<span style='color: green;'>4.10%</span>,<span style='color: green;'>10.79%</span>,<span style='color: green;'>4.76%</span>,5.23%,0.71%,3.77%,-6.00%,27.37%,2.53M,1.36
<b>815</b>,<b><a href='https://tossinvest.com/stocks/NWS/analytics'>NWS</a></b>,News Corp,US,5,39.0%,6,39.7%,7,41.3%,6,40.8%,6,0.9%,Communication Services,Media,False,45.43,17.10B,<span style='color: red;'>-3.20%</span>,<span style='color: green;'>6.46%</span>,<span style='color: green;'>3.94%</span>,<span style='color: green;'>13.98%</span>,<span style='color: green;'>20.18%</span>,<span style='color: green;'>8.25%</span>,5.23%,0.62%,3.77%,-6.55%,37.31%,772.83K,1.40
<b>816</b>,<b><a href='https://tossinvest.com/stocks/PR/analytics'>PR</a></b>,Permian Resources Corp,US,5,39.0%,5,38.8%,6,40.5%,6,40.1%,5,1.5%,Energy,"Oil, Gas & Consumable ...",False,8.89,11.75B,<span style='color: green;'>2.59%</span>,<span style='color: red;'>-7.17%</span>,<span style='color: red;'>-1.15%</span>,<span style='color: black;'>0.00%</span>,<span style='color: green;'>0.55%</span>,<span style='color: green;'>1.74%</span>,16.24%,3.99%,7.75%,-18.46%,17.11%,7.35M,4.30
<b>817</b>,<b><a href='https://tossinvest.com/stocks/HES/analytics'>HES</a></b>,Hess Corporation,US,5,39.0%,5,39.7%,5,39.5%,8,43.0%,6,1.2%,Energy,"Oil, Gas & Consumable ...",False,16.80,46.51B,<span style='color: green;'>4.25%</span>,<span style='color: green;'>1.55%</span>,<span style='color: green;'>4.03%</span>,<span style='color: green;'>10.08%</span>,<span style='color: green;'>3.09%</span>,<span style='color: green;'>13.50%</span>,27.41%,1.39%,13.64%,-7.94%,21.95%,1.83M,1.23
<b>818</b>,<b><a href='https://tossinvest.com/stocks/TM/analytics'>TM</a></b>,Toyota Motor Corporation ADR,JP,5,39.0%,5,39.5%,6,40.9%,5,37.8%,6,1.0%,Consumer Discretionary,Automobiles,False,7.16,236.62B,<span style='color: red;'>-1.10%</span>,<span style='color: red;'>-3.34%</span>,<span style='color: green;'>4.54%</span>,<span style='color: red;'>-0.21%</span>,<span style='color: red;'>-19.37%</span>,<span style='color: red;'>-7.16%</span>,14.59%,3.31%,8.86%,-29.21%,13.61%,395.85K,0.65
<b>819</b>,<b><a href='https://tossinvest.com/stocks/KMB/analytics'>KMB</a></b>,Kimberly-Clark Corp,US,5,39.0%,7,41.3%,5,39.2%,5,39.4%,6,0.8%,Consumer Staples,Household Products,False,18.41,46.09B,<span style='color: green;'>3.80%</span>,<span style='color: green;'>9.84%</span>,<span style='color: green;'>3.65%</span>,<span style='color: red;'>-3.13%</span>,<span style='color: green;'>17.48%</span>,<span style='color: green;'>6.05%</span>,290.03%,3.64%,31.73%,-6.92%,17.16%,2.20M,0.40
<b>820</b>,<b><a href='https://tossinvest.com/stocks/CPB/analytics'>CPB</a></b>,Campbells Co,US,5,39.0%,6,39.8%,6,39.7%,8,42.3%,6,1.0%,Consumer Staples,Food Products,False,21.42,11.73B,<span style='color: green;'>3.36%</span>,<span style='color: green;'>0.72%</span>,<span style='color: red;'>-8.83%</span>,<span style='color: red;'>-20.62%</span>,<span style='color: red;'>-2.73%</span>,<span style='color: red;'>-6.06%</span>,14.51%,3.93%,5.09%,-25.50%,6.55%,2.88M,0.15
<b>821</b>,<b><a href='https://tossinvest.com/stocks/ZBRA/analytics'>ZBRA</a></b>,Zebra Technologies Corp,US,5,39.0%,7,41.5%,5,39.2%,7,41.3%,5,1.7%,Information Technology,"Electronic Equipment, ...",False,31.55,16.49B,<span style='color: red;'>-9.05%</span>,<span style='color: red;'>-23.22%</span>,<span style='color: red;'>-16.83%</span>,<span style='color: red;'>-7.50%</span>,<span style='color: green;'>16.53%</span>,<span style='color: red;'>-16.89%</span>,15.95%,,9.05%,-24.96%,20.33%,455.51K,1.64
<b>822</b>,<b><a href='https://tossinvest.com/stocks/BMRN/analytics'>BMRN</a></b>,Biomarin Pharmaceutical Inc,US,5,39.0%,6,40.7%,5,38.6%,6,40.4%,5,1.6%,Health Care,Biotechnology,False,31.32,13.10B,<span style='color: green;'>4.36%</span>,<span style='color: green;'>9.92%</span>,<span style='color: green;'>8.37%</span>,<span style='color: red;'>-25.91%</span>,<span style='color: red;'>-22.58%</span>,<span style='color: green;'>4.56%</span>,8.05%,,6.83%,-27.54%,13.36%,1.47M,0.35
